ID,Equation,"Inputs (A, B, C, D, E)",Circuit,Min Delay (ns),Max Delay (ns),Combinational Depth,Final Output (Y)
195,"AND(NAND(OR(NOT(A), C), D), E)","[0, 0, 1, 1, 1]",AND -> NAND -> OR -> NOT,6.5,10,4,0
196,"AND(NAND(OR(BUFFER(A), C), D), E)","[1, 0, 0, 1, 0]",AND -> NAND -> OR -> BUFFER,5.7,9,4,0
197,"AND(NAND(XOR(AND(A, B), C), D), E)","[0, 1, 0, 0, 1]",AND -> NAND -> XOR -> AND,8,12,4,1
198,"AND(NAND(XOR(OR(A, B), C), D), E)","[0, 0, 0, 1, 1]",AND -> NAND -> XOR -> OR,8,12,4,1
199,"AND(NAND(XOR(XOR(A, B), C), D), E)","[1, 1, 0, 0, 0]",AND -> NAND -> XOR -> XOR,8.5,12.5,4,0
200,"AND(NAND(XOR(NAND(A, B), C), D), E)","[0, 1, 0, 0, 0]",AND -> NAND -> XOR -> NAND,7.5,11.5,4,0
201,"AND(NAND(XOR(NOR(A, B), C), D), E)","[0, 0, 0, 0, 0]",AND -> NAND -> XOR -> NOR,7.5,11.5,4,0
202,"AND(NAND(XOR(XNOR(A, B), C), D), E)","[1, 0, 1, 0, 1]",AND -> NAND -> XOR -> XNOR,8.5,12.5,4,1
203,"AND(NAND(XOR(NOT(A), C), D), E)","[1, 0, 1, 1, 1]",AND -> NAND -> XOR -> NOT,7,10.5,4,0
204,"AND(NAND(XOR(BUFFER(A), C), D), E)","[0, 0, 1, 1, 0]",AND -> NAND -> XOR -> BUFFER,6.2,9.5,4,0
205,"AND(NAND(NAND(AND(A, B), C), D), E)","[0, 0, 0, 0, 0]",AND -> NAND -> NAND -> AND,7,11,4,0
206,"AND(NAND(NAND(OR(A, B), C), D), E)","[1, 1, 1, 0, 0]",AND -> NAND -> NAND -> OR,7,11,4,0
207,"AND(NAND(NAND(XOR(A, B), C), D), E)","[1, 0, 1, 0, 1]",AND -> NAND -> NAND -> XOR,7.5,11.5,4,1
208,"AND(NAND(NAND(NAND(A, B), C), D), E)","[0, 0, 1, 1, 1]",AND -> NAND -> NAND -> NAND,6.5,10.5,4,1
209,"AND(NAND(NAND(NOR(A, B), C), D), E)","[1, 0, 0, 0, 1]",AND -> NAND -> NAND -> NOR,6.5,10.5,4,1
210,"AND(NAND(NAND(XNOR(A, B), C), D), E)","[1, 1, 0, 1, 0]",AND -> NAND -> NAND -> XNOR,7.5,11.5,4,0
211,"AND(NAND(NAND(NOT(A), C), D), E)","[0, 0, 1, 1, 0]",AND -> NAND -> NAND -> NOT,6,9.5,4,0
212,"AND(NAND(NAND(BUFFER(A), C), D), E)","[0, 1, 1, 0, 1]",AND -> NAND -> NAND -> BUFFER,5.2,8.5,4,1
213,"AND(NAND(NOR(AND(A, B), C), D), E)","[0, 0, 0, 1, 1]",AND -> NAND -> NOR -> AND,7,11,4,0
214,"AND(NAND(NOR(OR(A, B), C), D), E)","[0, 1, 1, 1, 1]",AND -> NAND -> NOR -> OR,7,11,4,1
215,"AND(NAND(NOR(XOR(A, B), C), D), E)","[1, 0, 0, 0, 1]",AND -> NAND -> NOR -> XOR,7.5,11.5,4,1
216,"AND(NAND(NOR(NAND(A, B), C), D), E)","[1, 0, 0, 0, 1]",AND -> NAND -> NOR -> NAND,6.5,10.5,4,1
217,"AND(NAND(NOR(NOR(A, B), C), D), E)","[1, 1, 0, 0, 0]",AND -> NAND -> NOR -> NOR,6.5,10.5,4,0
218,"AND(NAND(NOR(XNOR(A, B), C), D), E)","[1, 1, 0, 1, 1]",AND -> NAND -> NOR -> XNOR,7.5,11.5,4,1
219,"AND(NAND(NOR(NOT(A), C), D), E)","[0, 1, 1, 0, 1]",AND -> NAND -> NOR -> NOT,6,9.5,4,1
220,"AND(NAND(NOR(BUFFER(A), C), D), E)","[0, 1, 1, 1, 0]",AND -> NAND -> NOR -> BUFFER,5.2,8.5,4,0
221,"AND(NAND(XNOR(AND(A, B), C), D), E)","[1, 1, 1, 0, 0]",AND -> NAND -> XNOR -> AND,8,12,4,0
222,"AND(NAND(XNOR(OR(A, B), C), D), E)","[0, 0, 0, 1, 0]",AND -> NAND -> XNOR -> OR,8,12,4,0
223,"AND(NAND(XNOR(XOR(A, B), C), D), E)","[1, 0, 1, 0, 0]",AND -> NAND -> XNOR -> XOR,8.5,12.5,4,0
224,"AND(NAND(XNOR(NAND(A, B), C), D), E)","[1, 0, 0, 0, 0]",AND -> NAND -> XNOR -> NAND,7.5,11.5,4,0
225,"AND(NAND(XNOR(NOR(A, B), C), D), E)","[0, 0, 1, 1, 1]",AND -> NAND -> XNOR -> NOR,7.5,11.5,4,0
226,"AND(NAND(XNOR(XNOR(A, B), C), D), E)","[0, 0, 0, 0, 0]",AND -> NAND -> XNOR -> XNOR,8.5,12.5,4,0
227,"AND(NAND(XNOR(NOT(A), C), D), E)","[0, 0, 1, 0, 1]",AND -> NAND -> XNOR -> NOT,7,10.5,4,1
228,"AND(NAND(XNOR(BUFFER(A), C), D), E)","[1, 1, 1, 0, 0]",AND -> NAND -> XNOR -> BUFFER,6.2,9.5,4,0
229,"AND(NAND(NOT(AND(A, B)), D), E)","[1, 1, 1, 1, 0]",AND -> NAND -> NOT -> AND,6.5,10,4,0
230,"AND(NAND(NOT(OR(A, B)), D), E)","[1, 1, 1, 1, 1]",AND -> NAND -> NOT -> OR,6.5,10,4,1
231,"AND(NAND(NOT(XOR(A, B)), D), E)","[1, 0, 1, 1, 0]",AND -> NAND -> NOT -> XOR,7,10.5,4,0
232,"AND(NAND(NOT(NAND(A, B)), D), E)","[1, 1, 1, 0, 1]",AND -> NAND -> NOT -> NAND,6,9.5,4,1
233,"AND(NAND(NOT(NOR(A, B)), D), E)","[0, 0, 0, 0, 0]",AND -> NAND -> NOT -> NOR,6,9.5,4,0
234,"AND(NAND(NOT(XNOR(A, B)), D), E)","[0, 1, 1, 1, 1]",AND -> NAND -> NOT -> XNOR,7,10.5,4,0
235,"AND(NAND(BUFFER(AND(A, B)), D), E)","[0, 1, 1, 1, 1]",AND -> NAND -> BUFFER -> AND,5.7,9,4,1
236,"AND(NAND(BUFFER(OR(A, B)), D), E)","[1, 1, 0, 0, 0]",AND -> NAND -> BUFFER -> OR,5.7,9,4,0
237,"AND(NAND(BUFFER(XOR(A, B)), D), E)","[0, 1, 0, 0, 1]",AND -> NAND -> BUFFER -> XOR,6.2,9.5,4,1
238,"AND(NAND(BUFFER(NAND(A, B)), D), E)","[0, 0, 0, 0, 0]",AND -> NAND -> BUFFER -> NAND,5.2,8.5,4,0
239,"AND(NAND(BUFFER(NOR(A, B)), D), E)","[1, 1, 0, 0, 0]",AND -> NAND -> BUFFER -> NOR,5.2,8.5,4,0
240,"AND(NAND(BUFFER(XNOR(A, B)), D), E)","[0, 1, 1, 0, 1]",AND -> NAND -> BUFFER -> XNOR,6.2,9.5,4,1
241,"AND(NOR(AND(AND(A, B), C), D), E)","[0, 1, 1, 1, 0]",AND -> NOR -> AND -> AND,7.5,11.5,4,0
242,"AND(NOR(AND(OR(A, B), C), D), E)","[0, 0, 1, 0, 0]",AND -> NOR -> AND -> OR,7.5,11.5,4,0
243,"AND(NOR(AND(XOR(A, B), C), D), E)","[0, 1, 0, 1, 1]",AND -> NOR -> AND -> XOR,8,12,4,0
244,"AND(NOR(AND(NAND(A, B), C), D), E)","[0, 0, 1, 0, 1]",AND -> NOR -> AND -> NAND,7,11,4,0
245,"AND(NOR(AND(NOR(A, B), C), D), E)","[1, 0, 0, 0, 0]",AND -> NOR -> AND -> NOR,7,11,4,0
246,"AND(NOR(AND(XNOR(A, B), C), D), E)","[1, 1, 0, 0, 0]",AND -> NOR -> AND -> XNOR,8,12,4,0
247,"AND(NOR(AND(NOT(A), C), D), E)","[1, 0, 0, 1, 1]",AND -> NOR -> AND -> NOT,6.5,10,4,0
248,"AND(NOR(AND(BUFFER(A), C), D), E)","[1, 0, 1, 0, 1]",AND -> NOR -> AND -> BUFFER,5.7,9,4,0
249,"AND(NOR(OR(AND(A, B), C), D), E)","[0, 0, 1, 0, 0]",AND -> NOR -> OR -> AND,7.5,11.5,4,0
250,"AND(NOR(OR(OR(A, B), C), D), E)","[0, 1, 1, 0, 1]",AND -> NOR -> OR -> OR,7.5,11.5,4,0
251,"AND(NOR(OR(XOR(A, B), C), D), E)","[1, 1, 0, 1, 0]",AND -> NOR -> OR -> XOR,8,12,4,0
252,"AND(NOR(OR(NAND(A, B), C), D), E)","[0, 1, 1, 0, 0]",AND -> NOR -> OR -> NAND,7,11,4,0
253,"AND(NOR(OR(NOR(A, B), C), D), E)","[0, 1, 1, 1, 1]",AND -> NOR -> OR -> NOR,7,11,4,0
254,"AND(NOR(OR(XNOR(A, B), C), D), E)","[0, 0, 0, 0, 0]",AND -> NOR -> OR -> XNOR,8,12,4,0
255,"AND(NOR(OR(NOT(A), C), D), E)","[1, 0, 1, 1, 1]",AND -> NOR -> OR -> NOT,6.5,10,4,0
256,"AND(NOR(OR(BUFFER(A), C), D), E)","[1, 0, 1, 0, 0]",AND -> NOR -> OR -> BUFFER,5.7,9,4,0
257,"AND(NOR(XOR(AND(A, B), C), D), E)","[1, 1, 1, 1, 0]",AND -> NOR -> XOR -> AND,8,12,4,0
258,"AND(NOR(XOR(OR(A, B), C), D), E)","[0, 0, 1, 1, 0]",AND -> NOR -> XOR -> OR,8,12,4,0
259,"AND(NOR(XOR(XOR(A, B), C), D), E)","[1, 1, 1, 1, 1]",AND -> NOR -> XOR -> XOR,8.5,12.5,4,0
260,"AND(NOR(XOR(NAND(A, B), C), D), E)","[1, 1, 0, 1, 1]",AND -> NOR -> XOR -> NAND,7.5,11.5,4,0
261,"AND(NOR(XOR(NOR(A, B), C), D), E)","[1, 1, 0, 1, 1]",AND -> NOR -> XOR -> NOR,7.5,11.5,4,0
262,"AND(NOR(XOR(XNOR(A, B), C), D), E)","[1, 1, 1, 0, 1]",AND -> NOR -> XOR -> XNOR,8.5,12.5,4,1
263,"AND(NOR(XOR(NOT(A), C), D), E)","[1, 1, 1, 1, 1]",AND -> NOR -> XOR -> NOT,7,10.5,4,0
264,"AND(NOR(XOR(BUFFER(A), C), D), E)","[0, 0, 1, 1, 1]",AND -> NOR -> XOR -> BUFFER,6.2,9.5,4,0
265,"AND(NOR(NAND(AND(A, B), C), D), E)","[0, 0, 1, 1, 0]",AND -> NOR -> NAND -> AND,7,11,4,0
266,"AND(NOR(NAND(OR(A, B), C), D), E)","[0, 0, 0, 0, 1]",AND -> NOR -> NAND -> OR,7,11,4,0
267,"AND(NOR(NAND(XOR(A, B), C), D), E)","[0, 1, 1, 1, 0]",AND -> NOR -> NAND -> XOR,7.5,11.5,4,0
268,"AND(NOR(NAND(NAND(A, B), C), D), E)","[1, 1, 0, 1, 1]",AND -> NOR -> NAND -> NAND,6.5,10.5,4,0
269,"AND(NOR(NAND(NOR(A, B), C), D), E)","[0, 1, 1, 1, 1]",AND -> NOR -> NAND -> NOR,6.5,10.5,4,0
270,"AND(NOR(NAND(XNOR(A, B), C), D), E)","[1, 1, 0, 0, 0]",AND -> NOR -> NAND -> XNOR,7.5,11.5,4,0
271,"AND(NOR(NAND(NOT(A), C), D), E)","[1, 1, 1, 1, 0]",AND -> NOR -> NAND -> NOT,6,9.5,4,0
272,"AND(NOR(NAND(BUFFER(A), C), D), E)","[0, 1, 1, 0, 0]",AND -> NOR -> NAND -> BUFFER,5.2,8.5,4,0
273,"AND(NOR(NOR(AND(A, B), C), D), E)","[1, 1, 1, 1, 0]",AND -> NOR -> NOR -> AND,7,11,4,0
274,"AND(NOR(NOR(OR(A, B), C), D), E)","[0, 0, 0, 0, 0]",AND -> NOR -> NOR -> OR,7,11,4,0
275,"AND(NOR(NOR(XOR(A, B), C), D), E)","[0, 1, 0, 0, 0]",AND -> NOR -> NOR -> XOR,7.5,11.5,4,0
276,"AND(NOR(NOR(NAND(A, B), C), D), E)","[0, 1, 0, 1, 0]",AND -> NOR -> NOR -> NAND,6.5,10.5,4,0
277,"AND(NOR(NOR(NOR(A, B), C), D), E)","[1, 1, 0, 0, 0]",AND -> NOR -> NOR -> NOR,6.5,10.5,4,0
278,"AND(NOR(NOR(XNOR(A, B), C), D), E)","[0, 1, 0, 1, 1]",AND -> NOR -> NOR -> XNOR,7.5,11.5,4,0
279,"AND(NOR(NOR(NOT(A), C), D), E)","[1, 0, 1, 1, 1]",AND -> NOR -> NOR -> NOT,6,9.5,4,0
280,"AND(NOR(NOR(BUFFER(A), C), D), E)","[1, 0, 0, 1, 0]",AND -> NOR -> NOR -> BUFFER,5.2,8.5,4,0
281,"AND(NOR(XNOR(AND(A, B), C), D), E)","[1, 0, 0, 0, 0]",AND -> NOR -> XNOR -> AND,8,12,4,0
282,"AND(NOR(XNOR(OR(A, B), C), D), E)","[0, 0, 1, 1, 1]",AND -> NOR -> XNOR -> OR,8,12,4,0
283,"AND(NOR(XNOR(XOR(A, B), C), D), E)","[1, 1, 1, 1, 0]",AND -> NOR -> XNOR -> XOR,8.5,12.5,4,0
284,"AND(NOR(XNOR(NAND(A, B), C), D), E)","[0, 0, 1, 0, 1]",AND -> NOR -> XNOR -> NAND,7.5,11.5,4,0
285,"AND(NOR(XNOR(NOR(A, B), C), D), E)","[0, 1, 1, 1, 0]",AND -> NOR -> XNOR -> NOR,7.5,11.5,4,0
286,"AND(NOR(XNOR(XNOR(A, B), C), D), E)","[0, 1, 0, 1, 0]",AND -> NOR -> XNOR -> XNOR,8.5,12.5,4,0
287,"AND(NOR(XNOR(NOT(A), C), D), E)","[1, 1, 1, 0, 0]",AND -> NOR -> XNOR -> NOT,7,10.5,4,0
288,"AND(NOR(XNOR(BUFFER(A), C), D), E)","[1, 1, 1, 1, 1]",AND -> NOR -> XNOR -> BUFFER,6.2,9.5,4,0
289,"AND(NOR(NOT(AND(A, B)), D), E)","[0, 0, 1, 0, 0]",AND -> NOR -> NOT -> AND,6.5,10,4,0
290,"AND(NOR(NOT(OR(A, B)), D), E)","[0, 1, 0, 0, 1]",AND -> NOR -> NOT -> OR,6.5,10,4,1
291,"AND(NOR(NOT(XOR(A, B)), D), E)","[1, 0, 1, 1, 1]",AND -> NOR -> NOT -> XOR,7,10.5,4,0
292,"AND(NOR(NOT(NAND(A, B)), D), E)","[1, 0, 1, 1, 0]",AND -> NOR -> NOT -> NAND,6,9.5,4,0
293,"AND(NOR(NOT(NOR(A, B)), D), E)","[0, 1, 1, 0, 1]",AND -> NOR -> NOT -> NOR,6,9.5,4,0
294,"AND(NOR(NOT(XNOR(A, B)), D), E)","[0, 0, 1, 0, 0]",AND -> NOR -> NOT -> XNOR,7,10.5,4,0
295,"AND(NOR(BUFFER(AND(A, B)), D), E)","[1, 0, 0, 0, 1]",AND -> NOR -> BUFFER -> AND,5.7,9,4,1
296,"AND(NOR(BUFFER(OR(A, B)), D), E)","[0, 0, 0, 0, 0]",AND -> NOR -> BUFFER -> OR,5.7,9,4,0
297,"AND(NOR(BUFFER(XOR(A, B)), D), E)","[0, 1, 1, 0, 0]",AND -> NOR -> BUFFER -> XOR,6.2,9.5,4,0
298,"AND(NOR(BUFFER(NAND(A, B)), D), E)","[1, 0, 0, 1, 1]",AND -> NOR -> BUFFER -> NAND,5.2,8.5,4,0
299,"AND(NOR(BUFFER(NOR(A, B)), D), E)","[0, 0, 0, 1, 1]",AND -> NOR -> BUFFER -> NOR,5.2,8.5,4,0
300,"AND(NOR(BUFFER(XNOR(A, B)), D), E)","[0, 0, 1, 1, 0]",AND -> NOR -> BUFFER -> XNOR,6.2,9.5,4,0
301,"AND(XNOR(AND(AND(A, B), C), D), E)","[0, 0, 0, 0, 0]",AND -> XNOR -> AND -> AND,8.5,12.5,4,0
302,"AND(XNOR(AND(OR(A, B), C), D), E)","[0, 1, 0, 0, 0]",AND -> XNOR -> AND -> OR,8.5,12.5,4,0
303,"AND(XNOR(AND(XOR(A, B), C), D), E)","[1, 1, 1, 0, 1]",AND -> XNOR -> AND -> XOR,9,13,4,1
304,"AND(XNOR(AND(NAND(A, B), C), D), E)","[1, 0, 0, 1, 0]",AND -> XNOR -> AND -> NAND,8,12,4,0
305,"AND(XNOR(AND(NOR(A, B), C), D), E)","[1, 1, 1, 0, 1]",AND -> XNOR -> AND -> NOR,8,12,4,1
306,"AND(XNOR(AND(XNOR(A, B), C), D), E)","[0, 0, 0, 0, 0]",AND -> XNOR -> AND -> XNOR,9,13,4,0
307,"AND(XNOR(AND(NOT(A), C), D), E)","[1, 1, 0, 0, 1]",AND -> XNOR -> AND -> NOT,7.5,11,4,1
308,"AND(XNOR(AND(BUFFER(A), C), D), E)","[1, 1, 0, 1, 1]",AND -> XNOR -> AND -> BUFFER,6.7,10,4,0
309,"AND(XNOR(OR(AND(A, B), C), D), E)","[0, 0, 0, 0, 1]",AND -> XNOR -> OR -> AND,8.5,12.5,4,1
310,"AND(XNOR(OR(OR(A, B), C), D), E)","[1, 1, 0, 1, 1]",AND -> XNOR -> OR -> OR,8.5,12.5,4,1
311,"AND(XNOR(OR(XOR(A, B), C), D), E)","[1, 0, 0, 1, 0]",AND -> XNOR -> OR -> XOR,9,13,4,0
312,"AND(XNOR(OR(NAND(A, B), C), D), E)","[1, 0, 1, 1, 1]",AND -> XNOR -> OR -> NAND,8,12,4,1
313,"AND(XNOR(OR(NOR(A, B), C), D), E)","[0, 1, 1, 0, 0]",AND -> XNOR -> OR -> NOR,8,12,4,0
314,"AND(XNOR(OR(XNOR(A, B), C), D), E)","[0, 0, 1, 1, 1]",AND -> XNOR -> OR -> XNOR,9,13,4,1
315,"AND(XNOR(OR(NOT(A), C), D), E)","[1, 0, 0, 0, 0]",AND -> XNOR -> OR -> NOT,7.5,11,4,0
316,"AND(XNOR(OR(BUFFER(A), C), D), E)","[1, 0, 0, 0, 0]",AND -> XNOR -> OR -> BUFFER,6.7,10,4,0
317,"AND(XNOR(XOR(AND(A, B), C), D), E)","[0, 0, 0, 0, 0]",AND -> XNOR -> XOR -> AND,9,13,4,0
318,"AND(XNOR(XOR(OR(A, B), C), D), E)","[1, 1, 1, 0, 0]",AND -> XNOR -> XOR -> OR,9,13,4,0
319,"AND(XNOR(XOR(XOR(A, B), C), D), E)","[0, 0, 1, 1, 0]",AND -> XNOR -> XOR -> XOR,9.5,13.5,4,0
320,"AND(XNOR(XOR(NAND(A, B), C), D), E)","[0, 0, 0, 0, 0]",AND -> XNOR -> XOR -> NAND,8.5,12.5,4,0
321,"AND(XNOR(XOR(NOR(A, B), C), D), E)","[1, 1, 1, 1, 0]",AND -> XNOR -> XOR -> NOR,8.5,12.5,4,0
322,"AND(XNOR(XOR(XNOR(A, B), C), D), E)","[0, 0, 0, 0, 1]",AND -> XNOR -> XOR -> XNOR,9.5,13.5,4,0
323,"AND(XNOR(XOR(NOT(A), C), D), E)","[1, 1, 1, 0, 1]",AND -> XNOR -> XOR -> NOT,8,11.5,4,0
324,"AND(XNOR(XOR(BUFFER(A), C), D), E)","[0, 1, 0, 0, 1]",AND -> XNOR -> XOR -> BUFFER,7.2,10.5,4,1
325,"AND(XNOR(NAND(AND(A, B), C), D), E)","[0, 0, 0, 0, 1]",AND -> XNOR -> NAND -> AND,8,12,4,0
326,"AND(XNOR(NAND(OR(A, B), C), D), E)","[0, 1, 0, 1, 0]",AND -> XNOR -> NAND -> OR,8,12,4,0
327,"AND(XNOR(NAND(XOR(A, B), C), D), E)","[0, 1, 1, 1, 0]",AND -> XNOR -> NAND -> XOR,8.5,12.5,4,0
328,"AND(XNOR(NAND(NAND(A, B), C), D), E)","[1, 0, 0, 1, 1]",AND -> XNOR -> NAND -> NAND,7.5,11.5,4,1
329,"AND(XNOR(NAND(NOR(A, B), C), D), E)","[0, 1, 1, 1, 1]",AND -> XNOR -> NAND -> NOR,7.5,11.5,4,1
330,"AND(XNOR(NAND(XNOR(A, B), C), D), E)","[1, 1, 1, 1, 0]",AND -> XNOR -> NAND -> XNOR,8.5,12.5,4,0
331,"AND(XNOR(NAND(NOT(A), C), D), E)","[0, 1, 0, 0, 0]",AND -> XNOR -> NAND -> NOT,7,10.5,4,0
332,"AND(XNOR(NAND(BUFFER(A), C), D), E)","[1, 1, 0, 0, 0]",AND -> XNOR -> NAND -> BUFFER,6.2,9.5,4,0
333,"AND(XNOR(NOR(AND(A, B), C), D), E)","[0, 0, 0, 1, 0]",AND -> XNOR -> NOR -> AND,8,12,4,0
334,"AND(XNOR(NOR(OR(A, B), C), D), E)","[1, 1, 1, 0, 1]",AND -> XNOR -> NOR -> OR,8,12,4,1
335,"AND(XNOR(NOR(XOR(A, B), C), D), E)","[0, 0, 1, 0, 0]",AND -> XNOR -> NOR -> XOR,8.5,12.5,4,0
336,"AND(XNOR(NOR(NAND(A, B), C), D), E)","[1, 1, 0, 1, 1]",AND -> XNOR -> NOR -> NAND,7.5,11.5,4,1
337,"AND(XNOR(NOR(NOR(A, B), C), D), E)","[0, 1, 0, 0, 1]",AND -> XNOR -> NOR -> NOR,7.5,11.5,4,0
338,"AND(XNOR(NOR(XNOR(A, B), C), D), E)","[1, 0, 1, 1, 0]",AND -> XNOR -> NOR -> XNOR,8.5,12.5,4,0
339,"AND(XNOR(NOR(NOT(A), C), D), E)","[1, 1, 1, 0, 0]",AND -> XNOR -> NOR -> NOT,7,10.5,4,0
340,"AND(XNOR(NOR(BUFFER(A), C), D), E)","[1, 0, 0, 0, 1]",AND -> XNOR -> NOR -> BUFFER,6.2,9.5,4,1
341,"AND(XNOR(XNOR(AND(A, B), C), D), E)","[1, 0, 0, 1, 1]",AND -> XNOR -> XNOR -> AND,9,13,4,1
342,"AND(XNOR(XNOR(OR(A, B), C), D), E)","[1, 1, 0, 1, 0]",AND -> XNOR -> XNOR -> OR,9,13,4,0
343,"AND(XNOR(XNOR(XOR(A, B), C), D), E)","[1, 0, 1, 1, 1]",AND -> XNOR -> XNOR -> XOR,9.5,13.5,4,1
344,"AND(XNOR(XNOR(NAND(A, B), C), D), E)","[1, 0, 0, 0, 1]",AND -> XNOR -> XNOR -> NAND,8.5,12.5,4,1
345,"AND(XNOR(XNOR(NOR(A, B), C), D), E)","[1, 1, 1, 1, 0]",AND -> XNOR -> XNOR -> NOR,8.5,12.5,4,0
346,"AND(XNOR(XNOR(XNOR(A, B), C), D), E)","[1, 1, 1, 0, 0]",AND -> XNOR -> XNOR -> XNOR,9.5,13.5,4,0
347,"AND(XNOR(XNOR(NOT(A), C), D), E)","[0, 0, 1, 0, 0]",AND -> XNOR -> XNOR -> NOT,8,11.5,4,0
348,"AND(XNOR(XNOR(BUFFER(A), C), D), E)","[0, 1, 0, 0, 1]",AND -> XNOR -> XNOR -> BUFFER,7.2,10.5,4,0
349,"AND(XNOR(NOT(AND(A, B)), D), E)","[1, 0, 1, 0, 0]",AND -> XNOR -> NOT -> AND,7.5,11,4,0
350,"AND(XNOR(NOT(OR(A, B)), D), E)","[1, 0, 1, 0, 1]",AND -> XNOR -> NOT -> OR,7.5,11,4,1
351,"AND(XNOR(NOT(XOR(A, B)), D), E)","[0, 1, 1, 0, 1]",AND -> XNOR -> NOT -> XOR,8,11.5,4,1
352,"AND(XNOR(NOT(NAND(A, B)), D), E)","[0, 1, 0, 1, 0]",AND -> XNOR -> NOT -> NAND,7,10.5,4,0
353,"AND(XNOR(NOT(NOR(A, B)), D), E)","[1, 0, 0, 1, 0]",AND -> XNOR -> NOT -> NOR,7,10.5,4,0
354,"AND(XNOR(NOT(XNOR(A, B)), D), E)","[0, 1, 0, 0, 0]",AND -> XNOR -> NOT -> XNOR,8,11.5,4,0
355,"AND(XNOR(BUFFER(AND(A, B)), D), E)","[1, 1, 1, 1, 1]",AND -> XNOR -> BUFFER -> AND,6.7,10,4,1
356,"AND(XNOR(BUFFER(OR(A, B)), D), E)","[1, 0, 1, 0, 1]",AND -> XNOR -> BUFFER -> OR,6.7,10,4,0
357,"AND(XNOR(BUFFER(XOR(A, B)), D), E)","[1, 0, 0, 0, 1]",AND -> XNOR -> BUFFER -> XOR,7.2,10.5,4,0
358,"AND(XNOR(BUFFER(NAND(A, B)), D), E)","[0, 1, 1, 1, 0]",AND -> XNOR -> BUFFER -> NAND,6.2,9.5,4,0
359,"AND(XNOR(BUFFER(NOR(A, B)), D), E)","[0, 1, 1, 0, 0]",AND -> XNOR -> BUFFER -> NOR,6.2,9.5,4,0
360,"AND(XNOR(BUFFER(XNOR(A, B)), D), E)","[0, 0, 0, 1, 1]",AND -> XNOR -> BUFFER -> XNOR,7.2,10.5,4,1
361,"AND(NOT(AND(AND(A, B), C)), E)","[1, 0, 1, 1, 0]",AND -> NOT -> AND -> AND,7,10.5,4,0
362,"AND(NOT(AND(OR(A, B), C)), E)","[0, 0, 0, 1, 0]",AND -> NOT -> AND -> OR,7,10.5,4,0
363,"AND(NOT(AND(XOR(A, B), C)), E)","[0, 1, 0, 1, 0]",AND -> NOT -> AND -> XOR,7.5,11,4,0
364,"AND(NOT(AND(NAND(A, B), C)), E)","[0, 0, 1, 0, 1]",AND -> NOT -> AND -> NAND,6.5,10,4,0
365,"AND(NOT(AND(NOR(A, B), C)), E)","[0, 1, 0, 0, 1]",AND -> NOT -> AND -> NOR,6.5,10,4,1
366,"AND(NOT(AND(XNOR(A, B), C)), E)","[0, 0, 1, 0, 0]",AND -> NOT -> AND -> XNOR,7.5,11,4,0
367,"AND(NOT(AND(NOT(A), C)), E)","[1, 0, 1, 1, 1]",AND -> NOT -> AND -> NOT,6,9,4,1
368,"AND(NOT(AND(BUFFER(A), C)), E)","[1, 0, 1, 1, 0]",AND -> NOT -> AND -> BUFFER,5.2,8,4,0
369,"AND(NOT(OR(AND(A, B), C)), E)","[0, 1, 0, 0, 1]",AND -> NOT -> OR -> AND,7,10.5,4,1
370,"AND(NOT(OR(OR(A, B), C)), E)","[0, 0, 0, 1, 0]",AND -> NOT -> OR -> OR,7,10.5,4,0
371,"AND(NOT(OR(XOR(A, B), C)), E)","[1, 0, 0, 1, 1]",AND -> NOT -> OR -> XOR,7.5,11,4,0
372,"AND(NOT(OR(NAND(A, B), C)), E)","[1, 0, 0, 1, 0]",AND -> NOT -> OR -> NAND,6.5,10,4,0
373,"AND(NOT(OR(NOR(A, B), C)), E)","[1, 1, 0, 1, 0]",AND -> NOT -> OR -> NOR,6.5,10,4,0
374,"AND(NOT(OR(XNOR(A, B), C)), E)","[0, 0, 0, 0, 0]",AND -> NOT -> OR -> XNOR,7.5,11,4,0
375,"AND(NOT(OR(NOT(A), C)), E)","[1, 1, 1, 0, 0]",AND -> NOT -> OR -> NOT,6,9,4,0
376,"AND(NOT(OR(BUFFER(A), C)), E)","[1, 1, 1, 0, 1]",AND -> NOT -> OR -> BUFFER,5.2,8,4,0
377,"AND(NOT(XOR(AND(A, B), C)), E)","[0, 0, 0, 0, 0]",AND -> NOT -> XOR -> AND,7.5,11,4,0
378,"AND(NOT(XOR(OR(A, B), C)), E)","[0, 0, 0, 0, 1]",AND -> NOT -> XOR -> OR,7.5,11,4,1
379,"AND(NOT(XOR(XOR(A, B), C)), E)","[0, 0, 0, 0, 1]",AND -> NOT -> XOR -> XOR,8,11.5,4,1
380,"AND(NOT(XOR(NAND(A, B), C)), E)","[0, 0, 0, 0, 1]",AND -> NOT -> XOR -> NAND,7,10.5,4,0
381,"AND(NOT(XOR(NOR(A, B), C)), E)","[0, 0, 0, 1, 1]",AND -> NOT -> XOR -> NOR,7,10.5,4,0
382,"AND(NOT(XOR(XNOR(A, B), C)), E)","[0, 1, 1, 0, 0]",AND -> NOT -> XOR -> XNOR,8,11.5,4,0
383,"AND(NOT(XOR(NOT(A), C)), E)","[0, 0, 0, 0, 0]",AND -> NOT -> XOR -> NOT,6.5,9.5,4,0
